category,title,url,content
国内,“糸引きマフィン”が突然の閉業…返金対応のSNS削除で大混乱　保健所が異例の指導,https://news.yahoo.co.jp/articles/c6302bf1b15ff0b4edd35431103811a60f928831,食中毒を引き起こした疑いがあるマフィンを販売した東京都内の店が、商品回収の情報を公開するSNSを突然閉鎖しました。対応の不適切さから、保健所が指導する事態となっています。【画像】「ひと口食べただけで吐き気…」「グニャという感触で…」“糸引きマフィン”が突然閉業
国内,「ご清祥のことお慶び…」マフィン食中毒騒動「おわび文」でまた物議 「ケンカ売ってる」「印象悪すぎ」,https://news.yahoo.co.jp/articles/f3c1154bcbfb158f52185236fd64788c78576e17,"東京のイベントで販売されたマフィンによる食中毒騒動で、販売した都内の店が２２日までにホームページを更新し、同店の閉業を発表した。だがその文章が物議を醸している。◆「ケンカ売ってる」…マフィン食中毒騒動「おわび文」【写真】「お詫びとご案内」と題した文章で「拝啓　時下いよいよご清祥のこととお慶び申し上げます。平素は格別のご高配を賜り、厚く御礼申し上げます」と書き出し、改めて客や関係者に謝罪。食品衛生に対する知識、理解、対策などが不十分だったと省みた。

　また食中毒の原因については「正確な原因は未だ判明しておりません」とし「本件事故発生以来、当店は閉業しており、営業再開の予定はございません」と閉業を公表。同店のにせのホームページが作られているとも被害を訴えた。

　ネット上で注目を集めたのが、冒頭のあいさつ文。「清祥」とは「相手が健康で幸せに暮らしていることを喜ぶ」あいさつの言葉で「健やかでなにより」といった意味を表している。今回、マフィンを食べて腹痛などを訴え健康に被害が生じた客が多数発生したため、「健康被害出しといてご清祥慶ばれても」「ケンカ売ってると思われても仕方ない」「弁護士ついての文章なら酷すぎ」「何ひとつ相応しい言葉がつかえてない」「印象悪すぎて二次クレームになる」と不適切な使用ではとの指摘が相次いだ。

　同店は今月１１、１２日に開かれていた「デザインフェスタ」に出店。販売したマフィンを食べた客が腹痛などの体調不良を訴え、１６日、厚労省から重篤な危険被害が生じる危険性が最も高い「ＣＬＡＳＳ　Ｉ」と認定された。対象商品の回収法を当初、生ものが送れないレターパックで返送指示するなどし、混乱や非難を招き、炎上状態となった。"
国内,【なぜ?】「死ねと言っているのと同じ」持病ある生活保護受給者に“毎日1000円”手渡しでしか支給せず…額は半分に・群馬県,https://news.yahoo.co.jp/articles/368c77e7e437f8c0d09dc6c3c70f41955161dc76,"「どう考えても1000円で生活はできない、死ねと言っているのと同じ」

「めざまし8」の取材に対してそう語ったのは、群馬・桐生市に住む50代の男性です。
男性は、心不全や糖尿病などを患い、職を失うなどして生活が困窮。今年の8月以降、月に約7万円の生活保護を受けることになっていました。【画像】生活保護費が1日1000円ずつ手渡しでしか支給されず額も半分程度にしかし、実際に桐生市が男性に渡していた金額は、市役所の窓口で手渡しで支給される「1日1000円」。
そのため、1カ月に支給された合計額は、8月が3万3000円、9月が3万8000円と、全額ではなく、半分ほどしか支給されていませんでした。

生活保護受給者（50代）:
おかしいだろと言ったんだよ。「1000円で生活できるなんておかしいだろ?」と言ったんだ。他のものを買っちゃったら、今度は食費が本当になくなっちゃうから。"
国内,衝撃映像！ 車を運転してたら“日本離れした出来事”に遭遇　岡山で撮影された不思議な光景がネット上で話題に,https://news.yahoo.co.jp/articles/72606f03b0e7c761551314bc3a39c3adcb57188b,最近ではSNSや動画共有サイトなどが広く普及したことで、世界中の様々な物珍しい光景を目にする機会が増えているが、今回ご紹介する動画は、なんと日本で撮影されたという、“車道を堂々と歩く8頭の牛たち”の姿。【映像】運転中に出会った“日本離れした光景”
国内,【独自】脱輪タイヤが女の子（4）を直撃　「心の余裕ない」男に車の整備依頼した知人が涙　“不具合”感じながら運転か,https://news.yahoo.co.jp/articles/cacc65626aef22ddb176518da30d6678b55e0832,札幌市の道路で11月14日午後1時半ごろ、走行中の軽乗用車から外れたタイヤが4歳の女の子に直撃し、意識不明の重体となっている事故。逮捕された男に車の整備を依頼した知人男性が、FNNの取材に応じた。【画像】事故直前、車の様子を確認する若本容疑者　親族の証言も
国内,白菜とウインナーさえあれば「メインおかず」ができる。キユーピーの簡単レシピが「絶対うまい」と話題,https://news.yahoo.co.jp/articles/24c83d4c253a961674e1a67bbcef340519494abd,「白菜とウインナーがあればできる『メインおかず』」。キユーピー公式（@kewpie_official）がXで11月21日に公開したレシピが、簡単で美味しそう……！【画像集】白菜とウインナーさえあればできる「メインおかず」がこれだ
国内,世田谷一家殺人事件の現場に高校生ら立ち入り　「肝試し感覚」と説明,https://news.yahoo.co.jp/articles/f2c685d64b397be4eb5c1cf3b9face053ea9e058,"2000年12月に東京都世田谷区で一家4人が殺害された事件現場の住宅敷地内に、高校生ら約10人が23年10月に入り込んでいたことが、警視庁への取材で判明した。高校生らは任意の事情聴取に「肝試し感覚で行った。事件のことは知らなかった」と話したという。警視庁は今後、軽犯罪法違反（立ち入り禁止場所など侵入）容疑で書類送検する方針で捜査している。【写真で見る】一家殺人事件　現場家屋の中警視庁によると、10月6日午後10時過ぎ、世田谷区上祖師谷3丁目の宮沢みきおさん（当時44歳）宅の敷地内に、都内の高校に通う男子生徒ら約10人が入り込んだ。近隣住民からの通報で発覚した。住宅内には入っていないとみられる。

　土地は都の所有で、建物は遺族が所有している。敷地内への侵入を防ぐため、住宅の周りは高さ1・8メートルのフェンスで囲われ、施錠されていた。少年らはフェンスを乗り越えて敷地内に入ったとみられる。

　一家4人が殺害された事件は00年12月31日にあり、宮沢さんと妻泰子さん（当時41歳）、長女にいなさん（当時8歳）、長男礼ちゃん（当時6歳）が殺害された。犯行時刻は30日午後11時ごろ～31日未明とみられている。現場には犯人の血痕や指紋などが残され、警視庁が捜査を続けているが未解決のままとなっている。

　現場の建物について、警視庁は19年に「必要な証拠保全が終わった」と遺族側に取り壊しを打診したが、現在まで実施されていない。【岩崎歩】"
国内,認知症の21人に半分量の食事のみ　虐待で介護事業所が取り消し処分,https://news.yahoo.co.jp/articles/0b8ea38eac7872347832943893d85f3ace384b87,"石川県かほく市は21日、市内の認知症対応型の介護施設「グループホーム　一梅縁」で介護保険法違反（人格尊重義務違反など）があったとして、共同生活介護事業所としての指定を取り消したと発表した。【画像】馳知事発言、自民からも苦言「ぽろぽろ機密しゃべっちゃいかん」市によると、認知症の全入居者21人の1日3食分の食事が、厚生労働省が定める75歳以上のうち施設で過ごしている人などの1日の摂取基準（男性1800キロカロリー、女性1400キロカロリーなど）に対し、5～6割程度しか与えず、「放棄・放任の虐待として生命に危害を及ぼす重大な人格尊重義務違反を行った」としている。

　男性の「半分程度」の900キロカロリーを3食分にあてはめると1食あたり300キロカロリーで、ごはん茶わん1杯（150グラム約250キロカロリー）と納豆1パック（80～100キロカロリー）にも満たない。

　5月初旬に市に通報があり、同15日に立ち入り検査をして発覚し、監査を実施。業者が運んだ食材量から判明したが、9月中旬に再検査をした際、その量が変わっておらず、少なくとも4カ月間は虐待をしていたと認定した。処分までに時間を要したことについて市は「入居者の転居先を探していた」としている。

　また、施設は市の監査に対し、一部の入居者の体重が低下していたにもかかわらず、提出した介護記録など書類で虚偽の報告や答弁をしたという。

　21日、施設は静まりかえっていた。10月下旬に残っていた入居者18人に退去を呼びかけ、別の施設に移したという。たまたま荷物を取りに来たという元職員の女性は食事について、「何も知らなかった。1人前は普通の量で、だいたい、煮物と酢の物、肉か魚があった。『少ない』と言う人も、『いらない』と言う人もいた」と困惑していた。（小崎瑶太、朝倉義統）"
国内,15日亡くなった池田大作名誉会長の学会員による「創価学会葬」、都内施設で営まれる,https://news.yahoo.co.jp/articles/aa68bfe1038cc3fcddd7768068903bd1068ad993,"11月15日、95歳で亡くなった創価学会の池田大作名誉会長について、学会員による「創価学会葬」が23日午後、東京都内の施設で営まれた。

創価学会名誉会長の池田大作氏は11月15日、老衰のため東京・新宿区で95歳で亡くなった。

創価学会によると、午後1時半から東京・豊島区にある創価学会・東京戸田記念講堂と全国の約1000カ所の会館を中継で結び、参列者を会員に限定して創価学会葬を執り行ったという。

家族葬はすでに執り行われていて、各界の著名人などを招いて行われる「お別れ会」は後日設定される予定だという。"
国内,渡辺明九段に聞く　自分は自分のやり方で,https://news.yahoo.co.jp/articles/1a8c4df962a5111120de766b9d886350b7915956,"10月11日、第71期王座戦五番勝負第４局に勝ち、空前の大記録を達成した藤井聡太竜王・名人。11月4日に発売された、将棋世界Special『八冠 藤井聡太―全冠制覇で突入する将棋界新時代』（発行＝日本将棋連盟、販売＝マイナビ出版）では、この大きな節目にあたって渡辺明九段が何を思うのかを大いに語っていただきました。八冠を達成した王座戦の内容から、AIを利用した研究スタイルの変化、そして今後の将棋界についてなど、そのテーマは多岐にわたります。ここではその内容の一部を、インタビュアーの感想を交えてご紹介いたします。

■AIによって、個性は失われるのか？

――AIの研究によって序盤の精度は上がると思うのですが、中終盤での指し手の正確性を上げるにはどういう勉強をすればいいんでしょうか。  

渡辺「具体的には実戦だったり課題局面を考えてみたり、進行中の将棋を見ながら読んでみたり、ということになるんでしょうけど、こうすれば上がる、というような正解はないと思います。  

あと、中終盤の指し手の正確性が全員に必要とは限らないですよ。例えば中終盤の正確性はやや劣るものの、それを補って余りあるような何かがあればプロとしてやっていくことはできます。野球でいえば足が速ければ代走として出場できますし、守備が上手ければ守備固めのときに必要とされますよね。  

結局、自分の長所がどこにあるかということを俯瞰して見極めて、それを磨いていくことが大切だということです。トップを取ろうと思ったら全ての能力を高くする必要があって、それが藤井さんみたいな人なわけですけど、みんなが同じ能力を同じレベルで手に入れようとするより、それぞれの長所を生かしていったほうが個性が出て面白いじゃないですか。だからもし僕が将棋の指導をすることがあったら、まずはあなたの長所はなんですかと探して、わかったらその長所を伸ばしていこう、という感じでやっていくと思います」


棋士みんなが同じ方向で頑張るのではなくて、それぞれが自分の長所を見極めて伸ばしていく。終盤だけがめっちゃ強いとか、ある戦型においてすごく詳しいとか。そういうことですね。  

AI研究が全盛になって、プロ棋士は角換わりや相掛かりの研究合戦に巻き込まれて窮屈な未来になっていくのかなと思っていたので、渡辺先生から「個性があったほうが面白い」という言葉を聞いて、安心しました。  

振り飛車のスペシャリストの菅井先生や、「村田システム」の村田顕先生のように、いろんな棋士がそれぞれの長所を武器に戦っている将棋界はいいなと思いました。ちなみに永瀬先生の長所は「圧倒的な量をこなせる性格」とのことです。これも他の人にはない個性ですね。

■最先端の研究スタイルとは？

将棋年鑑の藤井聡太竜王・名人インタビューで、藤井先生は「特定の相手や特定の対局のために研究していない。自分の中で日々定跡作成をしている。その都度作戦を立てている方より自分のほうがラクなはず」というお話をしていました。  

――藤井竜王・名人は、特定の対局のために研究しておらず、日々自分の中で定跡の更新を続けている。ということをおっしゃっていました。こちらについて渡辺先生のご意見をお聞きしたいです。  

渡辺「そのスタイルは主流になりつつあると思います。永瀬さんや伊藤さんもそうですし、若手の研究熱心なグループではそのスタイルの人は増えていると思います」         

・・・なんと！藤井スタイルは藤井先生独自のものではなく、むしろ現在主流になりつつあるとは。驚きました。いろんな先生の話を聞かないとわからないものですね。"
